rank,name,country,city,type,desc,lat,long
1,Louvre,France,Paris,Art,"The museum is located in the former royal palace. The Louvre Museum was officially opened in 1793.
About 38,000 works of art were exhibited on the exhibition area of ​​over 60,000 square meters. The Louvre's full resources are 350,000 exhibits.
The exhibits collected at the Louvre Museum were assigned to eight collections:
The art of ancient Egypt - e.g. ""The Great Sphinx"",
The art of ancient Greece and Rome - e.g. ""Venus of Milo"", ""Nike of Samothrace"",
Art of the Ancient Near East - e.g. Hammurabi Codex document, figure of the goddess Nephthys,
Islamic art - e.g. Waza Barberini, Josse's Shroud,
Sculpture - e.g. Antonio Canova's Cupid and Pyche, Michelangelo's Dying Captive,
Painting - works of the best French, Flemish, Dutch or German painters, above all Leonardo da Vinci's ""Mona Lisa"",
Art Craft - e.g. Harbaville Triptych, Polyptych with Mary and Baby Jesus,
Drawing and Graphics - e.g. Eugène Delacroix drawings and watercolors.",48.8606111,2.337644
2,National Gallery,United Kingdom,London,Art,"National Gallery was founded in 1824. You can see 2,300 images there.
The most famous works:
- Leonardo da Vinci ""Madonna in the Grotto""
- Vincent van Gogh ""Sunflowers""
- Rembrandt van Rijn ""Bathing woman""
- Caravaggio ""Supper in Emmaus""",51.50892899999999,-0.128299
5,National Museum of China,China,Beijing,National,"The museum was founded in 2003 by merging two museums: Museum of the Chinese Revolution and National Museum of Chinese History.
The permanent exhibition consists of over one million exhibits.
The most important are ""Simuwu Ding"" from the Shang Dynasty, the square shaped Shang Dynasty bronze zun, jade burial suits sewn with gold thread from Han Dynasty and Song Dynasty ceramics. The museum has a unique numismatic collection.",39.9050945,116.4015829
7,Metropolitan Museum of Art,USA,New York,Art,"The oldest and largest American museum. Founded in 1870.
The collections are divided into thematic sections covering the history of world art: painting, applied art, military, musical instruments, photography.
The collection of paintings includes works of the world's greatest artists. The collection's decoration is the canvas of Dutch master Rembrandt. Italian paintings are represented by paintings e.g. Botticelli and Rafael.
The museum has an excellent collection of 19th-century French painting e.g. Manet, Monet, Renoir, van Gogh, Cézanne.",40.7127753,-74.0059728
10,State Hermitage Museum,Russia,St Petersburg,Art,"The State Hermitage Museum has been open to the public since 1852.
The entire collection is more than 3 million artifacts, including 1 million numismatic items.
The State Hermitage Museum presents monuments of culture and art of ancient Egypt and Greece as well as gold of the Scythians. The Hermitage collection includes two paintings by Leonardo da Vinci and the largest collection of Rembrandt paintings outside the Netherlands. The decoration of the collection is the paintings of Impressionists and post-Impressionists. The Hermitage has in its resources a rich collection of Asian art; Central Asian art collection attracts special attention. An important part of the collection is Russian art covering the period from the 11th to the 19th century.",59.93983170000001,30.3145597
12,National Air and Space Museum,USA,Washington,Air and space,"National Air and Space Museum part of the Smithsonian Institution, open since 1976. He makes public about 80% of his 50,000 exhibits. The most important of them are:
- the world's first Flyer I engine plane constructed in 1903 by the Wright brothers
- Spirit of St. Louis, which the American pilot Charles Lindbergh made in 1927 the first single stopover flight from North America to Europe
- built from original components acquired during World War II, the German V2 rocket
- Columbia command module (orbital) from the Apollo 11 mission, during which the first human landing on the moon took place
- Discovery space shuttle
- supersonic Concorde passenger plane

A view of the ""America by Air"" gallery; National Air and Space Museum, Smithsonian",38.88816010000001,-77.0198679
15,Reina Sofía,Spain,Madrid,Art,"Reina Sofía was opened in 1990.
It presents contemporary Spanish art in an international context from the end of the 19th century to the present day. Pablo Picasso's painting Guernica from 1937 is exhibited in Reina Sofía. Other artists whose artistic achievements are in the collection of Reina Sofía are, for example: Salvador Dali, Joan Miró, Juan Gris, Georges Braque, Francis Bacon, Alexander Calder, René Magritte, Robert Delaunay, Man Ray and Yves Klein.
The collection comprises over 20,000 works, five percent of which are on display.
The museum also houses an art library with over 100,000 books.",40.4079123,-3.6945569
16,Zhejiang Museum,China,Hangzhou,Art,"Zhejiang Museum was founded in 1929 as the West Lake Museum. It has over 100,000 exhibits in its permanent collection.
His collection includes archaeological findings of the Neolithic Hemudu culture, jade artifacts and silk fabrics of the Liangzhu culture, bronze Yue instruments, ceramics from the Tang Dynasty in Yue kilns, a bronze mirror from Huzhou, and calligraphies and paintings of local painters from the Ming and Qing period.",30.25052599999999,120.142789
20,National Palace Museum,Chinese Taipei,Taipei,Art,"The National Palace Museum was originally created as the Palace Museum in the Forbidden City in 1925.
The permanent collection consists of nearly 700,000 exhibits of ancient Chinese artifacts and works of art collected by Chinese emperors. The museum has Chinese calligraphy, porcelain, bronze, paintings, jade. The museum collections present art from the Neolithic era to the present day.",25.1023554,121.5484925
24,Le Gallerie degli Uffizi,Italy,Florence,Art,"Galleria degli Uffizi was opened to the public in 1765.
Le Gallerie degli Uffizi consists of: Gli Uffizi, Corridoio Vasariano, Palazzo Pitti, Giardino di Boboli.
The gallery is divided into rooms with works of art representing, in chronological order, various schools and styles.
The pride of the gallery are paintings by Sandro Botticelli, Leonardo da Vinci, Rafael, and Titian.",43.7677856,11.2553108
