year,Animation,Documentary,Game Show,Sports,Reality,Talk Show,Variety,Scripted
2000,2800000,,,,,2100000,3800000,40300000
2001,11800000,,4200000,,,,,41600000
2002,11900000,,,,,,,11000000
2003,6700000,,,,1200000,,700000,42200000
2004,102400000,1600000,,,1300000,,,64000000
2005,13400000,,,,1200000,,,144800000
2006,10800000,,,,1000000,,,56900000
2007,50100000,,,,,600000,,75300000
2008,6900000,5100000,,,1000000,,1200000,135600000
2009,80000000,1700000,,,2400000,,,19000000
2010,20900000,,,5500000,11200000,,,95700000
2011,34700000,3100000,,,,,8900000,172700000
2012,50800000,2700000,,,10500000,900000,,73800000
2013,96500000,800000,,,2100000,,2600000,199200000
2014,80400000,4500000,,,3200000,1000000,1000000,125100000
2015,61500000,9800000,,,34700000,1100000,,211700000
2016,48500000,1900000,,44500000,,1600000,,233700000
2017,106400000,6000000,,,1100000,,4800000,267100000
2018,113900000,63800000,,,21700000,700000,1800000,451800000
2019,123100000,29900000,,,19900000,1700000,2800000,261500000
2020,111500000,21100000,7100000,,58100000,,1600000,294700000
2021,169400000,32000000,3700000,,17200000,,1200000,576400000
2022,205400000,42400000,,,30000000,,1400000,408300000
2023,242900000,46800000,,,36300000,2400000,,464700000
2024,126600000,94500000,,,26500000,5200000,,435100000
2025,104400000,195300000,,,57800000,,8000000,1207700000
