year,Animation,Documentary,Game Show,Sports,Reality,Talk Show,Variety,Scripted
2004,101200000,1600000,,,,,,59800000
2005,4600000,,,,,,,111600000
2006,8600000,,,,,,,42800000
2007,31100000,,,,,,,50800000
2008,2200000,1800000,,,,,,129300000
2009,63200000,,,,,,,5000000
2010,14000000,,,,1600000,,,83100000
2011,31900000,2000000,,,,,7800000,157600000
2012,28200000,,,,10500000,,,60600000
2013,85500000,,,,,,2600000,180400000
2014,68900000,4000000,,,,,,99100000
2015,35100000,2200000,,,33500000,,,166600000
2016,17700000,,,14600000,,,,153700000
2017,84700000,3300000,,,,,1700000,185400000
2018,75800000,54900000,,,3500000,,,364300000
2019,86200000,23600000,,,10600000,,,183500000
2020,89200000,3600000,2800000,,36700000,,1600000,227500000
2021,153000000,21800000,3700000,,8200000,,,503100000
2022,181600000,20200000,,,14200000,,,333900000
2023,205500000,31600000,,,21200000,2100000,,382100000
2024,98400000,70400000,,,19000000,3200000,,388700000
2025,89100000,186800000,,,49000000,,1600000,1188500000
